,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
356,robore,-18.33,-59.75,72.82,81,38,1.68,BO,1609565636
357,catamarca,-28.47,-65.79,72.0,83,3,13.15,AR,1609565636
358,yangjiang,21.85,111.97,64.0,31,0,5.59,CN,1609565636
359,alekseyevsk,57.84,108.35,-21.48,83,100,6.29,RU,1609565636
360,loviisa,60.46,26.23,30.99,97,100,10.11,FI,1609565636
361,bilokurakyne,49.53,38.73,35.98,96,95,7.43,UA,1609565636
362,lodja,-3.48,23.43,71.89,91,100,1.9,CD,1609565636
363,talnakh,69.49,88.4,-18.4,75,100,17.9,RU,1609565636
364,sao joao do paraiso,-15.31,-42.01,61.97,91,46,1.14,BR,1609565636
365,santa cruz de tenerife,28.47,-16.25,61.0,87,20,11.05,ES,1609565581
366,zhangjiakou,40.81,114.88,15.93,69,11,8.23,CN,1609565364
367,mizan teferi,6.98,35.58,65.82,82,96,1.77,ET,1609565637
368,tatui,-23.36,-47.86,73.0,85,48,4.0,BR,1609565637
369,linxi,39.7,118.43,30.99,78,53,2.8,CN,1609565637
370,gamba,-2.65,10.0,75.83,91,100,7.78,GA,1609565637
371,saldanha,-33.01,17.94,62.6,51,0,4.7,ZA,1609565637
372,pandan,14.05,124.17,79.45,86,100,20.11,PH,1609565637
373,biak,-0.91,122.88,84.88,68,85,0.87,ID,1609565637
374,stodolishche,54.19,32.65,35.11,97,100,10.71,RU,1609565637
375,gravdal,68.12,13.5,38.59,74,5,7.23,NO,1609565637
376,nanga eboko,4.68,12.37,68.86,95,64,1.59,CM,1609565637
377,strezhevoy,60.73,77.59,-31.0,73,0,2.24,RU,1609565637
378,road town,18.42,-64.62,77.0,75,21,21.0,VG,1609565638
379,ternate,0.8,127.4,84.76,70,96,5.86,ID,1609565638
380,charters towers,-20.1,146.27,80.74,71,100,9.06,AU,1609565638
381,agadez,19.75,10.25,63.88,25,0,6.69,NE,1609565638
